title,link_canal,subscriber_count,view_count,normalized_views
Eduardo Rosas - Finanzas Personales,https://www.youtube.com/channel/UCBxr1muciHdRtlygUhruARw,925000,76453439,1.0
Finanzas con Gus,https://www.youtube.com/channel/UCrr-NczCJHrwi1oBS97uwnw,558000,51300285,0.6710003587935397
Moconomy - Economía y Finanzas,https://www.youtube.com/channel/UCkcpcQv9rKFqWRO5ocqKZPg,238000,34096980,0.4459836005545807
Silvia Finanzas Inteligentes,https://www.youtube.com/channel/UCPL8GZd3pfcUJJjs-U655lg,209000,18118488,0.2369872204179069
MegaTop - Finanzas,https://www.youtube.com/channel/UCcqU0WqcZGmV9pbum_7E00w,45300,6371727,0.0833412738961291
Ministerio de Economía y Finanzas del Perú,https://www.youtube.com/channel/UCHIuXXO2ZLocViLR3Ir2uaQ,62800,2737595,0.0358073493593924
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UC-e4FSozlER2PM4s-fOTP6w,2700,1240419,0.0162245023405683
Gastón Pérez - Finanzas Personales,https://www.youtube.com/channel/UC7e0Vos7HfCaq257UBc6f6g,21000,1023069,0.0133815955617117
Finanzas para Mortales - Educación Financiera,https://www.youtube.com/channel/UCIcZI3Hwwfz-tBjrr2b8wjQ,9820,816380,0.0106781331314605
Dani Fernandez: canal economia,https://www.youtube.com/channel/UCi7B3XBQ5NswO-tawUGMCOA,12100,664738,0.0086946775540077
Finanzas Para Ti,https://www.youtube.com/channel/UCDnMoP3VSZjGwYbMiV2N0cg,7370,405113,0.0052988198477245
ECONOMIA Y FINANZAS PERSONALES,https://www.youtube.com/channel/UCp-1n_ih0NSn88bMYI-86ZA,911,285426,0.00373333108011
Finanzas iDatos,https://www.youtube.com/channel/UCLaM9bHHYJRzteoO1ZtPPbA,6100,277557,0.003630405690449
Economía y Finanzas,https://www.youtube.com/channel/UCQQAlsntLHUTl1dBvIuDq-A,1970,261356,0.0034184989376344
DR Finanzas,https://www.youtube.com/channel/UCy4fRy232xU8DSLT7Fbf82g,2420,256651,0.003356958213482
Geoeconomía y finanzas,https://www.youtube.com/channel/UCn8SVbia5tHM_PzymdU80Fg,2900,250459,0.0032759677429291
AUDIOLIBROS ECONOMIA Y FINANZAS ,https://www.youtube.com/channel/UCZa-aJt-HQl7TP33FLsXtQw,3720,249125,0.0032585192145509
Finanzas Economía y Trading,https://www.youtube.com/channel/UC9bnENUsaANxQJJAU6BfqAQ,2640,134786,0.0017629815187254
Economia y finanzas,https://www.youtube.com/channel/UCbjIwcbSGNNanSS_fDvre_Q,1380,106527,0.0013933578579768
Cosas de Finanzas,https://www.youtube.com/channel/UCBu3cQaQjGclj1TKS7MZkoA,1150,97948,0.0012811457703034
Santiago Ortiz - Finanzas y Economía,https://www.youtube.com/channel/UCgkkjKS_V6BUqwT7XLwYUww,509,76972,0.0010067827033915
Ministerio de Economía y Finanzas Uruguay,https://www.youtube.com/channel/UCu6vr8WRDa_4vxKeZZS7sxg,759,73880,0.0009663397875404
Fredy Andrade - Economía Y Finanzas,https://www.youtube.com/channel/UCRoyHym32DruHGpJIJuFEUg,593,67693,0.0008854147162693
Juan Mancera - Economía y Finanzas,https://www.youtube.com/channel/UCAu9NAiSjA9luIhXBGxJO0A,623,43901,0.0005742187738605
PROFE JULIO SEGURA ECONOMÍA Y FINANZAS ,https://www.youtube.com/channel/UCPS-6eDG7DVduy4fyfT96bw,1180,31916,0.0004174566954404
Editorial Economía y Finanzas,https://www.youtube.com/channel/UCpaiYHEkah_iZr8Cv46q8Zg,0,16307,0.0002132932175882
El Rincón de la Economía,https://www.youtube.com/channel/UC1674yvtgycTZxonFBd7vhw,1160,14023,0.0001834188256724
Economía y Finanzas,https://www.youtube.com/channel/UCNLie8stdNpb3BhARDkxQJg,38,8809,0.0001152204546351
Economía y Finanzas,https://www.youtube.com/channel/UCY63lMjIM2CKFgVt0s0MfsQ,17,8426,0.000110210869651
Lorena Alvarez Finanzas Personales ,https://www.youtube.com/channel/UC-cu8Ir0HQTbIG-2eA53_6g,124,6720,8.789663470861004e-05
Economía y Finanzas Personales,https://www.youtube.com/channel/UCT2awhPiC7biJ1DPgiihoyw,124,4391,5.743364925677182e-05
Uneduc - Economía y Finanzas,https://www.youtube.com/channel/UCGeciGJgsTJgLW7CdkANrEg,12,1087,1.421780385837189e-05
Economia y Finanzas,https://www.youtube.com/channel/UCaCs2XcPYW5XKC_FTOv2llg,5,487,6.369890045103138e-06
Economía y finanzas,https://www.youtube.com/channel/UC07aOkTp6Kvut3sXtrzvQHA,3,381,4.983425271425658e-06
Economía y finanzas,https://www.youtube.com/channel/UCNeoYDT_A1AJIB5aPGnFo5w,7,281,3.675439635880866e-06
Mujeres en Economía y Finanzas de Córdoba,https://www.youtube.com/channel/UCkGfCa_4gJcRj4u4Cge4h1g,25,279,3.6492799231699695e-06
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UCOVzzbNYpRQvSGRODJiEwPA,0,221,2.8906482545539907e-06
Economia y Finanzas ,https://www.youtube.com/channel/UCj_hZ5q6RCHwfdtYYSFjj_A,4,193,2.524412276601449e-06
Economía y finanzas.,https://www.youtube.com/channel/UCLIeGx2tAoztyTn1DtxmysA,7,100,1.3079856355447922e-06
Economía y Finanzas,https://www.youtube.com/channel/UC7BUaNVu-07w_rA2e1CCm4w,0,90,1.177187071990313e-06
Economia Y Finanzas,https://www.youtube.com/channel/UCberV5zcMrFyGYg05TBowkw,4,63,8.240309503932191e-07
"GeoEconomics | Finanzas, Economia y Documentales",https://www.youtube.com/channel/UCXtYBAA2F-z1iAVFBgyHyQQ,8,53,6.932323868387398e-07
Economía y Finanzas,https://www.youtube.com/channel/UC1dCE541duT46AYjLu-fk6w,1,46,6.016733923506044e-07
Economia y Finanzas,https://www.youtube.com/channel/UCFRq9gKYtVJq7ij2SSuRwrA,4,33,4.316352597297815e-07
Economía y Finanzas,https://www.youtube.com/channel/UC-WwAKSkDgMk121BmL7qWsw,2,19,2.485172707535105e-07
"GeoEconomia | Finanzas, Economia y Documentales",https://www.youtube.com/channel/UCp4KiOIzAqEXEJTI4FCLtJA,3,9,1.177187071990313e-07
Economía y Finanzas,https://www.youtube.com/channel/UCKKql89zJTNtR5HKZO0VJUQ,0,8,1.0463885084358339e-07
Economía y Finanzas,https://www.youtube.com/channel/UClQpqnV5TIr8TFhoFeAs8rg,0,4,5.2319425421791696e-08
Economía y finanzas ,https://www.youtube.com/channel/UCit6_-XFKUcauBiIdIOMGXA,21,3,3.9239569066343774e-08
ES Economía y Finanzas ,https://www.youtube.com/channel/UCOodFmKeyYAyD7MLXHSg1uA,0,2,2.6159712710895845e-08
