title,link_canal,subscriber_count,view_count,normalized_views
Finanzas con Gus,https://www.youtube.com/channel/UCrr-NczCJHrwi1oBS97uwnw,558000,51305247,1.0
Moconomy - Economía y Finanzas,https://www.youtube.com/channel/UCkcpcQv9rKFqWRO5ocqKZPg,238000,34136043,0.6653518888623614
AulaDeEconomia,https://www.youtube.com/channel/UCUIvPmpKsx-YnBRxc-E9IXg,79300,18325527,0.3571862152812557
MegaTop - Finanzas,https://www.youtube.com/channel/UCcqU0WqcZGmV9pbum_7E00w,45300,6371755,0.1241930479352336
Finanzas al Instante,https://www.youtube.com/channel/UCdr2bv9-uy8mfi0OBCQIsTA,38700,6002516,0.116996142714214
Economía Digital,https://www.youtube.com/channel/UC6D4yqpixz5XmIoDUDE73mg,23200,5988274,0.1167185492743071
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UC-e4FSozlER2PM4s-fOTP6w,2700,1240715,0.0241830041282132
Finanzas para Mortales - Educación Financiera,https://www.youtube.com/channel/UCIcZI3Hwwfz-tBjrr2b8wjQ,9820,816674,0.0159179430517116
Finanzas Al Día,https://www.youtube.com/channel/UCxwBbtmazrmoxKfjFw9DpgQ,13600,708748,0.0138143375471908
Dani Fernandez: canal economia,https://www.youtube.com/channel/UCi7B3XBQ5NswO-tawUGMCOA,12100,665256,0.0129666269806673
Ministerio de Economía Formosa,https://www.youtube.com/channel/UCt-_pzdgKBZ_lnenwg8p4VA,238,569164,0.0110936801454245
Finanzas Para Ti,https://www.youtube.com/channel/UCDnMoP3VSZjGwYbMiV2N0cg,7390,406080,0.0079149799239832
ECONOMIA Y FINANZAS PERSONALES,https://www.youtube.com/channel/UCp-1n_ih0NSn88bMYI-86ZA,915,286454,0.0055833275688157
Economía y Finanzas,https://www.youtube.com/channel/UCQQAlsntLHUTl1dBvIuDq-A,1970,261462,0.0050962039028873
DR Finanzas,https://www.youtube.com/channel/UCy4fRy232xU8DSLT7Fbf82g,2420,256996,0.0050091562759653
Finanzas Economía y Trading,https://www.youtube.com/channel/UC9bnENUsaANxQJJAU6BfqAQ,2640,134807,0.0026275480166775
Economia y finanzas,https://www.youtube.com/channel/UCbjIwcbSGNNanSS_fDvre_Q,1390,106709,0.0020798847338167
Cosas de Finanzas,https://www.youtube.com/channel/UCBu3cQaQjGclj1TKS7MZkoA,1150,100721,0.0019631715251268
Finanzas TV,https://www.youtube.com/channel/UCCvLOUArVf2GrI_f_iYzfrw,402,49201,0.0009589857349288
Juan Mancera - Economía y Finanzas,https://www.youtube.com/channel/UCAu9NAiSjA9luIhXBGxJO0A,625,44146,0.0008604578007391
Finanzas Personales,https://www.youtube.com/channel/UCV5SfhA93kzc9KKRzL09CoA,391,40719,0.0007936615138018
Ashire - Finanzas,https://www.youtube.com/channel/UCVPVkSYrevgwv4FCIFZQoJg,1470,40683,0.0007929598311845
Finanzas del Reino,https://www.youtube.com/channel/UCCGOs4hLLEnvTSh68FQW55A,1400,32507,0.0006335999123052
PROFE JULIO SEGURA ECONOMÍA Y FINANZAS ,https://www.youtube.com/channel/UCPS-6eDG7DVduy4fyfT96bw,1180,32079,0.000625257685632
Percepciones Económicas,https://www.youtube.com/channel/UCC35tdrH4dDRFhDEvPYl2bQ,208,25459,0.0004962260487704
Editorial Economía y Finanzas,https://www.youtube.com/channel/UCpaiYHEkah_iZr8Cv46q8Zg,0,16529,0.0003221697772939
Vínculo Económico,https://www.youtube.com/channel/UCU8yoHYxQQAGvACHwuiRU4w,170,9844,0.0001918712134842
Eco - Finanzas,https://www.youtube.com/channel/UCwOgsDT1Fkkd1Bahy68OW5Q,46,9014,0.000175693530917
