title,link_canal,subscriber_count,view_count,normalized_views
Economía y Finanzas,https://www.youtube.com/channel/UCNLie8stdNpb3BhARDkxQJg,38,8841,0.0001723215561168
Economía y Finanzas,https://www.youtube.com/channel/UCY63lMjIM2CKFgVt0s0MfsQ,17,8426,0.0001642327148332
Mujeres en Finanzas ,https://www.youtube.com/channel/UCPcDdLXH_53wemZfLHkzttg,288,6533,0.0001273359038696
Economía y Finanzas Personales,https://www.youtube.com/channel/UCT2awhPiC7biJ1DPgiihoyw,124,4391,8.558578813586064e-05
Uneduc - Economía y Finanzas,https://www.youtube.com/channel/UCGeciGJgsTJgLW7CdkANrEg,12,1087,2.118691680794364e-05
Economia y Finanzas,https://www.youtube.com/channel/UCaCs2XcPYW5XKC_FTOv2llg,5,487,9.492206518370332e-06
Economía y finanzas,https://www.youtube.com/channel/UC07aOkTp6Kvut3sXtrzvQHA,3,381,7.426141033879049e-06
Economía y finanzas,https://www.youtube.com/channel/UCNeoYDT_A1AJIB5aPGnFo5w,7,283,5.5160050199154096e-06
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UCOVzzbNYpRQvSGRODJiEwPA,0,221,4.307551623326167e-06
Finanzas en primera persona,https://www.youtube.com/channel/UCaAfpW6RWfPILOSzddGOrgQ,13,217,4.229586888062346e-06
Economia y Finanzas ,https://www.youtube.com/channel/UCj_hZ5q6RCHwfdtYYSFjj_A,4,193,3.7617984764794136e-06
Economía y finanzas.,https://www.youtube.com/channel/UCLIeGx2tAoztyTn1DtxmysA,7,100,1.949118381595551e-06
Economía y Finanzas,https://www.youtube.com/channel/UC7BUaNVu-07w_rA2e1CCm4w,0,90,1.754206543435996e-06
Economia Y Finanzas,https://www.youtube.com/channel/UCberV5zcMrFyGYg05TBowkw,4,64,1.2474357642211527e-06
Economía y Finanzas,https://www.youtube.com/channel/UC1dCE541duT46AYjLu-fk6w,1,46,8.965944555339535e-07
MALDITAS FINANZAS,https://www.youtube.com/channel/UC0XSeJL5cXTPVGqTOHMfhvA,4,22,4.288060439510212e-07
Economía y Finanzas,https://www.youtube.com/channel/UC-WwAKSkDgMk121BmL7qWsw,2,19,3.703324925031547e-07
Economía y Finanzas,https://www.youtube.com/channel/UCKKql89zJTNtR5HKZO0VJUQ,0,8,1.559294705276441e-07
"GeoEconomia | Finanzas, Economia y Documentales",https://www.youtube.com/channel/UCp4KiOIzAqEXEJTI4FCLtJA,3,8,1.559294705276441e-07
Economía y Finanzas,https://www.youtube.com/channel/UClQpqnV5TIr8TFhoFeAs8rg,0,4,7.796473526382206e-08
Economía y finanzas ,https://www.youtube.com/channel/UCit6_-XFKUcauBiIdIOMGXA,21,3,5.847355144786654e-08
ES Economía y Finanzas ,https://www.youtube.com/channel/UCOodFmKeyYAyD7MLXHSg1uA,0,2,3.898236763191102e-08
